24-12-2015||satire||---------||A Micro-primer on Corruption||If you are caught in the act, just deny it.||
09-10-2015||h t parekh finance column||---------||People's Quantitative Easing : A Jeremy Corbyn Proposal||The Labour Party of the United Kingdom (UK) was defeated in the 2015 general elections on 7 May. The next day, the leader of the party, Ed Miliband, resigned from his post and triggered the 2015 Labour Party leadership election.||T Sabri Öncü
09-10-2015||commentary||---------||Power for All : Is Anything Being Learnt from Past Programmes?||Power for All is the new programme to provide 24×7 electricity to the entire population by 2019. There have been many such plans in the past which have failed. What have we learnt from those experiences? There remain many concerns about the way the new programme is being formulated and executed. The major challenge in PFA is in providing quality, affordable power to rural areas and small consumers. However, the PFA plans do not adequately address these challenges. Based on a study of publicly available state PFA plans and documents, this article raises some key concerns and offers suggestions for a course correction.||Ann Josey,Sreekumar N
09-10-2015||commentary||---------||Report to the UN Human Rights Council on Sri Lanka : An Evaluation||One of the most striking features of the report by the Office of the High Commissioner for Human Rights Investigation on Sri Lanka, 2015 is its consistent effort to be even-handed in its view of Government of Sri Lanka and Liberation Tigers of Tamil Eelam responsibility for atrocities. Significantly, it does not find evidence that the government or its armed forces engaged in genocide, instead, the crimes are described by the report as consistent with war crimes and crimes against humanity. This analysis finds the report of OISL as contributing to a process of securing the rights of victims and their families, reforming institutions so that similar bloodbaths do not recur in the future, and bringing about reconciliation.||Rohini Hensman
08-10-2015||commentary||---------||Balancing Affordability and Availability in a Drug Patent Regime||India needs to find an optimal patenting regime that will safeguard incentives for innovation while simultaneously ensuring that medicines are available at reasonable prices.||Chirantan Chatterjee,Viswanath Pingali
08-10-2015||commentary||---------||Access to Education in Tribal Areas : Rethinking the Traditional Approach||What are the challenges in providing quality education in hilly and tribal areas? This article argues that the current educational structures, even when properly implemented, may not meet the needs of students in such areas. Based on a field study in Tripura, it suggests a different approach: the residential school model in the inaccessible areas.||Ashutosh Jindal
08-10-2015||commentary||---------||Natural Gas Pricing : Misleading Recommendations||In the important (and controversial) area of prices for natural gas there are relentless efforts by deeply vested interests to obfuscate facts and misinform this impoverished and energy-starved nation about how prices should be set and what they should be. A critique of a recent report by an international agency which was widely reported in the media.||Surya P Sethi
08-10-2015||commentary||---------||China's Falling Rate of Profit and the Coming Economic Crisis :||China's rapid growth has been based on the intense exploitation of the working class, ruthless environmental degradation, and exports to the global capitalist market. However, all three conditions required for China's capital accumulation have been undermined. The contradictions of Chinese capitalism have led to a falling profit rate, which at current trends may soon fall towards levels historically associated with the Great Depression. A major economic crisis may seriously undermine the political legitimacy of China's current capitalist regime.||Minqi Li,Zhi Li
08-10-2015||perspectives||---------||Feminism's Futures : The Limits and Ambitions of Rokeya’s Dream||What do feminists want? What visions of an ideal society have we conceptualised or dreamt of? What are the possibilities and limits of iterations of a feminist futurity? Even as we ask, however, we are brought up short by a more fundamental question: is such a teleological conception of any theory or social movement --however we define feminism--valid? Can we expect feminism to function with a single blueprint of an ideal political order or society "to come"?||Rajeswari Sunder Rajan
08-10-2015||special articles||---------||The New Indian State : The Relocation of Patronage in the Post-Liberalisation Economy||Describing the relocation of the patronage-based relationship between the state and the private sector in post-liberalisation India, this article goes on to address the consequences of this relationship for democracy. It points out that the continued dependence of a reconstituted private sector on patronage relations with a reconstituted state can reinforce an investment in procedural democracy, but may at the same time subvert the substantive aspects of democracy.||Kanchan Chandra
08-10-2015||special articles||---------||Well-being, Inequality, Poverty and Pathways Out of Poverty in India :||This paper first makes a comprehensive assessment of the performance of states in the post-reform period in terms of growth as well as reduction of income poverty and multiple deprivations. It then investigates whether there is any systematic relationship between growth and poverty and also between growth and inequality for the period 1993-94--2011-12. This analysis helps in understanding the proximate and structural factors underlying poverty and inequality. Based on the empirical analysis and review of approaches adopted by some of the Asian countries which have experienced a rapid reduction in poverty, the paper discusses pathways for India to hasten the process of poverty reduction.||R Radhakrishna
08-10-2015||special articles||---------||Impact of Private Tutoring on Learning Levels :||Despite widespread and substantial household expenditure on private tutoring in many developing countries, not much is known about their effects on learning outcomes. The main challenge in estimating such an effect is that the decision to send the child for private tutoring is endogenous. This paper utilises a large household survey conducted in rural India, and employs fixed effect estimation to control for the effect of unobserved variables. It finds a positive and significant effect of private tutoring on learning outcomes for students in Classes 1 to 8. The effect is stronger for disadvantaged students--those who are less wealthy, and those whose parents are relatively less educated.||Ambrish Dongre,Vibhu Tewary
09-10-2015||notes||---------||Services Growth in India :||Macroeconomic data shows a lack of improvement in the incremental capital-output ratio along with diminishing total factor productivity in India's services sector--surely a warning. If far-reaching measures are not taken, India may soon be unable to compete in the global market in this area.||Manak C Singhi,Rajarangamani Gopalan
09-10-2015||discussion||---------||Double Deflation Method and Growth of Manufacturing : A Comment||This comment points out an erroneous assumption in the calculations and central argument of Rajakumar and Shetty ("Gross Value Added: Why Not the Double Deflation Method for Estimation?," EPW, 15 August 2015) that reverses almost all their inferences and conclusions. If construction and service input prices are also considered in the construction of the input price deflators, the double deflation method may further raise the manufacturing real income rather than depressing it. Conditions under which single or double deflation can better approximate the Index of Industrial Production growth rate are also discussed.||Ravindra H Dholakia
09-10-2015||current statistics||---------||Current Statistics :||------------------||EPW Research Foundation
09-10-2015||postscript||---------||Guru Power :||Riding on the exponential power of networks, godmen and charlatans like Guruji exploit the fraternal feeling amongst fellow followers to offer specious solutions.||Shobhit Mahajan
09-10-2015||postscript||---------||Atithi Devo Bhava in Japan :||As a society, the Japanese exhibit exquisite politeness and immeasurable hospitality in the manner in which they deal with visitors and guests.||E S Krishnamoorthy
09-10-2015||postscript||---------||Dead Meat :||At his death bed He said ‘I have no beef with you Dear neighbours Just an advice||Nazreen Fazal
09-10-2015||postscript||---------||Last Lines :||------------------||
09-10-2015||postscript||---------||The View from Above :||Subsidies||Toothcomber
09-10-2015||appointments/programmes/announcements||---------||Appointments/Programmes/Announcements :||------------------||
09-10-2015||reports from the states||---------||Privatising Healthcare in Rajasthan||The Rajasthan government has planned to hand over its public health centres to private operators through a process of bidding. However this will have a debilitating effect on the inadequate and under-resourced public healthcare system in the state.||
01-10-2015||from 50 years ago||---------||From 50 Years Ago : Outlook for Aid :||Vol XVII, No 40, octoBER 2, 1965||
01-10-2015||margin speak||---------||In Thy Name, Ambedkar :||There is a rush for memorials dedicated to Ambedkar. The Sangh Parivar is leaving no stone unturned to appropriate Ambedkar who, given his vitriolic comments on Hinduism, should have been their greatest enemy. At the same time, the gap between the Dalits and non-Dalits continues to widen and atrocities against Dalits continue with impunity.||Anand Teltumbde
01-10-2015||commentary||---------||Death Penalty in India : Reflections on the Law Commission Report||The Law Commission of India's 262nd report is the first official document to recommend abolition of death penalty. Its seminal recommendation notwithstanding, the commission's conclusion that divergence in judicial reasoning in the death penalties handed out is cause enough for the abolition of such penalty is too hasty. Further, not applying this recommendation to terror-related offences is fuzzy and unreasoned. If death penalty is no more of a deterrent for terrorism than it is for other crimes, as the commission itself finds, to persist with such a recommendation by using the bogey of "national security" is extremely odd. The report is, however, valuable in creating an intelligent discourse around death penalty in India.||Arghya Sengupta,Ritwika Sharma
01-10-2015||commentary||---------||Nepal's New Constitution : Towards Progress or Chaos?||This article traces the political evolution of the new Constitution adopted by Nepal, lists its main features and explains the points of contention which have led to violent protests. It also delineates India's role in the entire process. It points out that the new Constitution of Nepal is a welcome move and provides the space for expanding rights and making it more inclusive.||S D Muni
01-10-2015||commentary||---------||Seismic Shifts in Indian Labour Laws :||The National Democratic Alliance government which came to power on the "public promise" of development is going full steam ahead with labour deregulation. Against the backdrop of government's attempts to dilute the three core industrial relations labour laws--the Trade Unions Act, 1926, the Industrial Employment (Standing Orders) Act, 1946 and the Industrial Disputes Act, 1947--this article delineates some major changes that have been proposed to the labour laws. It also highlights the defensive position of Indian trade unions that stems from the government's haste to amend labour laws.||P J Secki
01-10-2015||commentary||---------||Oskar Groening's Case and Its Relevance in the Indian Context :||Nazi war criminal Oskar Groening's case revolved around the question, could people who played only an "accessorial role" in the Nazi-ordered genocide, and had not actively killed any prisoner, still be held guilty of a crime? The case is pertinent in the current political climate in India.||Rajashri Dasgupta
01-10-2015||commentary||---------||The Politics of Amnesia :||Fifty years ago, a failed uprising against pro-US army generals (though not against the country's president) in Indonesia became the scapegoat for pogroms and inaugurated a three-decade long period of authoritarianism. Indonesia became the model for the West in its suppression of popular movements in the global South. The elite in Indonesia and its international allies still do not want to talk about their violent methods. This amnesia and the refusal to understand the experiences of popular politics works to the detriment of democracy in the country.||Olle Tornquist
30-09-2015||commentary||---------||Challenges before India's Muslim Community :||This is the text of the speech delivered by the Vice President of India at the inauguration of the All India Majlis-e-Mushawarat Golden Jubilee in New Delhi on 31 August 2015. This speech has received a fair amount of public attention and has been termed "controversial" in sections of the media. We are republishing it here to help our readers form an informed opinion.||M Hamid Ansari
30-09-2015||perspectives||---------||Adivasis and the Anthropological Gaze :||Through the display of material culture, museums invoke not only an imagined Adivasi past, but also a fossilised vision of their cultural present. While these museums tend to fulfil a pedagogical function through the display of material cultural objects, the implicit ideology behind these exhibits has not received the attention it deserves in India. Why do ethnographic museums choose to display predominantly select groups like the tribals? Why not also display upper-caste women and men and their lifeworld? Here is where politics of representation becomes inextricably intertwined with ethnographic displays in museums. This article explores the dynamics of the anthropological gaze and how it has contributed to the construction of the Adivasis as the exotic cultural other.||V Sebastian
30-09-2015||special articles||---------||Children's Development : Baby Steps in Odisha||The Integrated Child Development Services scheme and maternity entitlements can play a crucial role in improving children's food and nutrition security. Both interventions are part of the National Food Security Act, though maternity entitlements have yet to be activated. Odisha has experimented with several creative policies, including initiating a maternity entitlements scheme in 2011 before the NFSA was enacted, introduction of eggs and decentralised procurement of take-home rations in the ICDS. This article, based on a field study of the two children's schemes in four districts in December 2014, reports how they perform and identifies areas for further action.||Reetika Khera
30-09-2015||special articles||---------||Don't Worry, Be Happy, : A Survey of the Economics of Happiness||Happiness is a subjective measure of the quality of life in all its domains. Lately, the social and economic dimensions of happiness and its measurement have been the subject of some study. There are several factors that affect individual well-being, with income, employment, health, religion, marriage, education and workplace satisfaction being important determinants. Macroeconomic variables such as unemployment, poverty, literacy rate, life expectancy, inflation rate, crime rate and political stability also affect happiness. This article looks at the literature of the economics of happiness and is a survey of the relationship between happiness and several correlates of happiness. It aims to establish that analysing happiness from an economist's perspective can help choose between alternative public policies, and proposes an alternative valuation methodology for non-marketed goods and services.||Chirodip Majumdar,Gautam Gupta
01-10-2015||special articles||---------||Politics of Identity and the Project of Writing : History in Postcolonial India A Dalit Critique||The central orientation of this article is organised around Dalit identity politics and their implications on the project of writing history in postcolonial India. It critically engages with the Subaltern Studies project as a school of postcolonial historiography that claims to represent the voice of the marginalised and yet stops short of acknowledging caste and caste-based oppression as worthy of historical analysis. In particular, it engages with Dipesh Chakrabarty's reflections on Dalit identity politics in postcolonial India and argues that Dalits, while demanding sociopolitical equality and a dignified identity, also challenge the epistemologies of the nation and demand its historical narratives to be egalitarian and inclusive.||Chinnaiah Jangam
01-10-2015||notes||---------||Respondent, a Key Factor in National-Level Surveys : An Analysis||Statistics holds paramount position as a scientific tool to translate relevant data into information for effective policymaking. But the data collector does not receive adequate cooperation from respondents. At times, the respondents are incapable of providing information. The 61st, 66th and 68th rounds of the National Sample Survey have brought these problems to the fore. Lack of clarity marred the information received from about 20% respondents. This analysis presents some ways and means to make a survey/census more productive and useful for development planning.||J S Tomar,K N Pathak
01-10-2015||discussion||---------||Economic Legacy of Colonial Rule Revisited :||Continuing the debate on the economic legacy of colonial rule, the author responds to Banerjee et al's critique of his essay, also published in EPW.||Tirthankar Roy
01-10-2015||current statistics||---------||Current Statistics :||------------------||EPW Research Foundation
01-10-2015||appointments/programmes/announcements||---------||Appointments/Programmes/Announcements :||------------------||
02-10-2015||web exclusives||---------||Ahimsa at Odds : Individual Ethics, Structural Violence and India||Propagating ahimsa, while permitting structural violence, suggests ethical blindness for individuals and an absence of an enlightened vision for society. India needs to move from a narrow concept of ahimsa to a broader vision, which renounces structural violence.||
03-10-2015||web exclusives||---------||Of Cows, Muslims, and the Right to Religious Difference : Remembering Gandhi in an Era of Escalating Communal Violence in India||MK Gandhi, protection of the cow and eating beef…Notes after Dadri.||
07-10-2015||web exclusives||---------||Waste is Yours and Mine : Citizenship in Garbage Bin||Waste is one of the few things urban dwellers—rich and poor—have left in common. Through a theoretical exploration of waste and its implications, the author proposes how our politics and practice with regard to waste can come together.||
07-10-2015||web exclusives||---------||Changes in Electronic Waste Management : From E-Waste (Management & Handling) Rules 2011 to Draft E-Waste Management Rules 2015||The proposed changes to the electronic waste management rules will address the issue of multiple stakeholders and responsibility of producers. But issues of implementation as well as regulatory frameworks are yet to be addressed in the new rules.||
30-09-2015||reports from the states||---------||Patidar Anamat Andolan : Reinventing a Social Identity||The Patels in Gujarat are reinventing their social identity to address the plight of their aspiring youth. This article traces the trajectory of their agitation and inquires into the reasons behind their protests even after coming from a position of relative social and economic privilege.||
25-09-2015||comment||---------||Ecological Footprint of Elections :||The use of environmentally-hazardous campaign material needs to be curbed.||
25-09-2015||from 50 years ago||---------||From 50 Years Ago: Winning the Peace :||Vol XVII, No 39, SEPTEMBER 25, 1965||
25-09-2015||commentary||---------||India's Unsinkable Aircraft Carrier :||An exploration of what the Andaman and Nicobar Islands mean to India--as a nation and as a state. This article suggests that the manner in which it has been visualised as a peg in the country's geopolitical strategy reduces the possibilities its location and history provide to India. It further argues that it would be self-defeating to view these islands merely from a geopolitical angle and not factor in the many histories of the people who inhabit it at present.||Itty Abraham
25-09-2015||commentary||---------||'Will Eat Anything That Moves' : Meat Cultures in Globalising India||The singular focus on cultural aspects of food habits in India--meat eating and its associated sociocultural meanings--has rendered the debate on animal vulnerability invisible. While many countries are now seeking a way out of large-scale livestock farming and animal foods due to ecological concerns as well as animal rights, India perversely is doing the opposite.||Krithika Srinivasan,Smitha Rao
25-09-2015||commentary||---------||Towards an Intergovernmental Tax Committee :||India's support for the establishment of an intergovernmental tax committee at the United Nations is a move towards a more just global tax regime. This article examines some of the key deficiencies in the existing system, reasons why an intergovernmental tax body is necessary and suggests some steps that could be taken by the Indian foreign policy establishment in pursuing this goal.||Abdul Muheet Chowdhary
25-09-2015||commentary||---------||Political Dynamics in Bihar : Electoral Competition and Representation||The upcoming assembly elections in Bihar are expected to be unprecedented on several counts. Following a miserable defeat of their parties in Lok Sabha 2014 elections, two so-called arch enemies Lalu Yadav and Nitish Kumar have joined forces, after a 25-year hiatus. Despite this, there is considerable uncertainty in the air. Departing from the usual qualitative claims on who will win, this article studies numbers of previous elections to draw a judgment on the type of representation and political competition Bihar can expect to face in its elections. In some ways, it predicts the nature of the election, rather than the result.||Arun Kumar Kaushik,Yugank Goyal
24-09-2015||commentary||---------||Ramaswamy R Iyer : A Tribute||Ramaswamy R Iyer was a civil servant but he was constantly posing questions to accepted wisdom on issues relating to water. His body of work and frequent interventions on matters of public policy relating to water came to represent an alternative view that lays stress on efficient use, respect for the environment and finding solutions to water conflicts. Officialdom had no use for him but his imprint on how to think about water will be permanent.||K J Joy,S Janakarajan
24-09-2015||perspectives||---------||Repairing Complex Historical Injustice :||Political theorists no doubt have to take the history of injustice, for example, untouchability, seriously. But, the beginning point of repair of historical injustice is the "here" and the "now," the democratic context that shapes collective lives and aspirations. Comprehension of how deep the roots of injustice are, is important. But, it is also important not to get trapped too much in the past and in the politics of recrimination and resentment that divides society irremediably, and prevents the consolidation of a consensus on the need to battle discrimination.||Neera Chandhoke
24-09-2015||special articles||---------||Marginality and Historiography : The Case of Kashmir’s History||Keeping Kashmir's history at the centre of debate, this article makes a brief survey of some of the popular history textbooks of modern India. Arguing that modern Indian historiography has been replete with various "silences" when it comes to writing Kashmir history, it tries to look for the reasons for such "silences." From distortions/silencing of facts to management of archives and sources of history writings, it then shows the way in which history writing is controlled in modern India. Looking for the reasons of such distortion/silences, the article argues that Indian historiography of the 19th and 20th centuries has remained confined to the twin pillars of Indian nationalism/national movement and anti-colonial struggle, and, thus, all other struggles that remain outside this dual framework are, more often than not, ignored. The article further states that the problem of history writing increases manifold when one is thinking and talking of writing history of various conflicts zones, like Kashmir, where nationalism slips into jingoism and history becomes the most important site for playing "national politics."||Amit Kumar,Fayaz A Dar
24-09-2015||special articles||---------||Current Account Fallout of FDI in Post-Reform India : Evidence from Manufacturing Sector||Examining trends of foreign exchange use of a consistent sample of foreign affiliated manufacturing firms over the post-reform years, it is found that these firms have a tendency to cause net foreign currency losses at the aggregate level, as well as at the firm level. A shift in preference for outflows through finished goods imports and intangible transaction payments is noted. The firm-level expense intensity has risen for different routes as well, while the export intensity did not vary significantly over the period. The propensity towards foreign exchange use was dissimilar in various ways for comparable local firms. Such patterns raise serious concerns regarding the impact of foreign direct investment on current account of India's balance of payment in direct and possibly shielded ways.||Swati Verma
24-09-2015||special articles||---------||How a Participatory Process Can Matter in Planning the City :||While Indian cities experience newer challenges, and city visions are increasingly grandiose, planning continues to be straitjacketed. Looking specifically at the process so far in the creation of Mumbai's third Development Plan, the article traces people's collectivisation around the DP, as well as the nuances and outcomes of this participation. While highlighting larger challenges in planning for the city, it has emphasised the importance of local government autonomy and its responsibility to respond to local needs.||Lalitha Kamath,Marina Joseph
24-09-2015||notes||---------||Pakistan and the Nasr Missile : Searching for a Method in the Madness||Pakistan's nuclear planners have sought to develop and plan deployment of the short-range Nasr tactical missile to deliver nuclear weapons against advancing Indian armoured forces. This article explores the limited utility of the use of tactical nuclear weapons which could still prove to be catastrophic by triggering the escalation of a conventional conflict into nuclear war. An alternative could be that Pakistan and India revive the idea first proposed by India in 1949 and 1950 of a No-War Agreement. The actions forbidden could include support for cross-border militancy and military incursions across the border, as well as subversion, blockades, and disruption of river waters.||A H Nayyar,Zia Mian
25-09-2015||notes||---------||Understanding the Political Shift in Assam : Withering Congress Dominance||Assam was a Congress stronghold in the post-Congress era. However, the 2014 Lok Sabha elections marked a signifi cant political shift with the Bharatiya Janata Party making significant inroads. The trend continued with the recent elections to the Bodoland Territorial Council and urban local bodies. This article explores the changing political dynamics of the state which assume added significance because elections to the state assembly are slated for early 2016.||Sandhya Goswami,Vikas Tripathi
25-09-2015||discussion||---------||Clarification on PDS Leakages :||This note outlines the methodological reasons for the (small) differences in estimates of leakages from the public distribution system in 2011-12, as reported in Himanshu and Abhijit Sen (EPW, 16 and 23 November 2013) and Drèze and Khera (EPW, 14 February 2015).||Abhijit Sen,Himanshu,Jean Dreze,Reetika Khera
25-09-2015||current statistics||---------||Current Statistics :||------------------||EPW Research Foundation
25-09-2015||postscript||---------||Doing It Right :||As far as teacher training in higher education is concerned, the University Grants Commission seems to have got it all wrong.||Ashwin Kumar A P
25-09-2015||postscript||---------||Citius, Altius, Fortius :||The Olympic motto in Latin for “Faster, Higher, Stronger” may well bring on a paroxysm of passion as sports fans argue over which is the best sport in the world.||Arvind Krishnaswamy
25-09-2015||postscript||---------||Linguistic Monopoly? :||As the state promotes the predominant use of Hindi, there is a danger of India slowly becoming a one-language nation sans a multilingual and federal identity.||T R Bhat
25-09-2015||postscript||---------||Last Lines :||------------------||
25-09-2015||appointments/programmes/announcements||---------||Appointments/Programmes/Announcements :||------------------||
24-09-2015||reports from the states||---------||Dissenting Voices from the Margins : Mapithel Dam in Manipur||The ongoing construction of Mapithel or Maphou Dam along the Thoubal River in Ukhrul district, Manipur has several adverse consequences for the local population as well as the environment.||
28-09-2015||reports from the states||---------||Going Beyond Harassment : Women Journalists in Uttar Pradesh||The police may have arrested the man who harassed journalists of Khabar Lahariya for over three months but that is only half the battle won. In this article, the journalists share the everyday challenges in a deeply misogynist and casteist society. It is easier to crack one case than to combat the widely-held bias against them as reporters, who happen to be women.||
18-09-2015||from 50 years ago||---------||From 50 Years Ago : The New Hoarder :||Vol XVII, No 38, SEPTEMBER 18, 1965||
18-09-2015||commentary||---------||Andhra Pradesh's Master Plan for Its New Capital : Speculation and Weak Foundations||Amaravati, the planned new capital of Andhra Pradesh, is to be set up in a highly fertile, multi-cropped area in the Guntur-Krishna belt where the water table is just 15 to 20 feet below the surface. The Government of Andhra Pradesh has been aggressively pursuing land pooling through a series of not-too-friendly measures to acquire land for the capital which will be located in a low- to medium-risk flood area. Where the Singapore consultancy's master plan for the new city, Amaravati, falters is in not visualising the need to accommodate low-income residents and the informal sector in the new capital, and in its exaggerated projections of employment generation in the information technology sector.||C Ramachandraiah
18-09-2015||commentary||---------||Bank and Poverty Reduction : A Critique of World Development Report 2015||A close reading of the World Bank's World Development Report 2015 shows that it works on the assumption that human beings generally think automatically, socially, and with mental models, and that future development policy, poverty alleviation, and even policy design need to be modified taking this into account. Poverty is a "cognitive tax" suffered because people are incapable of taking advantage of the opportunities that are open to them. The assumption that development experts improving the behaviour of the poor will reduce poverty, however, fails to confront the growing problem of unsustainable inequalities.||M A Oommen
18-09-2015||commentary||---------||Child Labour Law Amendment : Applying the Brakes on Social Mobility||The proposed amendment to the Child Labour (Prohibition and Regulation) Act 1986 hopes to align it with the Right to Education Act, 2009. It prohibits child labour up to 14 years and regulates the employment of children between the ages of 15 and 18 years. But the proviso that children can help in the family occupation after school hours or in the fields, home-based work, forest produce gathering or attend technical institutions during vacations, is bound to be misused. Besides, it will also lead to reinforcing the practice of caste-based occupations.||
16-09-2015||commentary||---------||Disentangling the Economics of Net Neutrality :||The debate around net neutrality in India has focused on safeguarding the rights and freedoms of using the internet, but little has been said about the economics of data transportation and pricing. This article argues that just like physical transportation companies charge more to carry the same weight of steel as compared to sand, internet service providers must be allowed to price discriminate as well. It also argues that apprehensions about price discrimination are essentially fears of monopolistic practices--a legitimate fear that must be addressed.||Vinod Kumar
16-09-2015||commentary||---------||Recalibrating Fiscal Deficit Numbers for India :||The fiscal deficit numbers are often managed in undesirable ways. This article recalibrates the fiscal deficit numbers for the combined finances of the centre and the states, and then for the centre in the last 10 years in which fiscal responsibility and budget management targets have been applicable. The analysis suggests an under-reporting of numbers and that the corrected fiscal deficit of the centre and states is actually higher by about 12% on an average.||Siddhartha K Rastogi
16-09-2015||commentary||---------||Understanding Kalaburgi :||A tribute to M M Kalaburgi, the eminent scholar of the history of Karnataka and the language of Kannada, who was assassinated in Dharwad on 30 August.||Sha Settar
16-09-2015||perspectives||---------||Is Another Emergency Likely? :||Through a discussion of the build-up to the 1975 Emergency, what happened then and thereafter, and of the run-up to the 2014 elections and the first year of the Narendra Modi government, it is argued that in spite of all its deficiencies, India's democracy remains vibrant and will fight another attempt at authoritarian rule. But if government policies favour the rich and systematically undermine the interests of the common people and their democratic rights, one cannot rule out institutions of the state--the bureaucracy with some help from the judiciary--administering another Emergency in one form or another.||K N Hari Kumar
16-09-2015||special articles||---------||Catastrophic Failure of Public Trust in Mining : Case Study of Goa||Minerals are a commons, held by state governments in public trust for the people, especially for future generations. With mining, states dispose of minerals for money, and have so far lost more than half their value. As this study shows, over the last eight years of iron ore mining in Goa, each family of four in the state has lost the equivalent of Rs 13.51 lakh, while the average Goan private household's assets are estimated to be Rs 10.44 lakh. This is catastrophic.||Rahul Basu
16-09-2015||special articles||---------||Rural Credit Cooperatives in Maharashtra : A Tale of Growing Divides||Examining the different phases of growth and distribution of cooperative credit in Maharashtra between the 1960s and 2000s, this paper tries to understand the multiple dimensions of the phenomenon in the state—across regions, crops, ownership and size classes of land, and social groups. Although Maharashtra has been leading in the expansion of credit cooperatives, this has been marked by a distinct bias in favour of Western Maharashtra where cash crops, particularly sugar cane are grown. The process has largely eluded Eastern and Central Maharashtra, where cotton and other crops are grown.||Pallavi Chavan
18-09-2015||special articles||---------||Between Daughter Deficit and Development Deficit : Situation of Unmarried Men in a South Indian Community||Drawing on research in Namakkal District in Tamil Nadu on the Kongu Vellala Gounder community, which has a history of daughter elimination, it can be seen that the effects of daughter deficit unfold, not in isolation, but amid changing economic processes, development gains made by women, and shortcomings among men in marriage. These are evident in women's bargaining position in negotiating marriage. Whether daughter deficit increases violence against women or enhances their value depends on its interaction with development processes, gender inequality, and successful challenges to traditional gender norms.||Sharada Srinivasan
18-09-2015||notes||---------||'Demerger' and Statehood : Similarities between Gorkhaland and Telangana||The Darjeeling Hills and surrounding areas were merged with West Bengal in 1954. This article argues that the formation of Telangana opens the door for accepting the century-old demand of the Indian Gorkhas for a separate homeland. It also argues against the use of the term separatism to describe the demand of the Indian Gorkhas and instead suggest the terms "merger" and "demerger." Darjeeling, whose merger with West Bengal was, at best, a post-independence administrative exigency, could now be demerged, much like Telangana from Andhra Pradesh.||Bivek Tamang,Sangmu Thendup
18-09-2015||discussion||---------||The Institutional Lives of Intersectionality :||Continuing the debate on intersectionality (EPW, 25 April 2015 and 15 August 2015), this comment raises the issue of the institutional life of intersectionality as illustrated by women's studies in the United States.||Jennifer C Nash
18-09-2015||current statistics||---------||Current Statistics :||------------------||EPW Research Foundation
18-09-2015||appointments/programmes/announcements||---------||Appointments/Programmes/Announcements :||------------------||
16-09-2015||web exclusives||---------||Flip-flops in Police Investigation : Mumbai 7/11 Blasts Case||An analysis of some investigative loopholes in the 7/11 Mumbai train blasts case adds weight to the growing voices that suggest that the accused may have been framed.||
11-09-2015||from 50 years ago||---------||From 50 Years Ago : Ayub's Costly Miscalculations :||Vol XVII, No 37, SEPTEMBER 11, 1965||
11-09-2015||h t parekh finance column||---------||Can Indradhanush Help Revive Public Sector Banks?||Indradhanush, the government's new plan for public sector bank reform in India, may not be the "big bang" reforms that many have been clamouring for. But the government has decided to recapitalise PSBs--a sensible change of mind. India's recapitalisation cost since the mid-1990s must be amongst the lowest worldwide, and it has helped prevent a banking crisis. Other proposed reforms in Indradhanush follow the framework put forth by the P J Nayak Committee, but fall far short of the paradigm shift policies proposed therein.||T T Ram Mohan
11-09-2015||commentary||---------||What Ails the Implementation of the Goods and Services Tax? :||Since the Goods and Services Tax cannot be implemented by 1 April 2016, there is a strong case to implement a central GST from that date by merging the excise and service tax regimes. Such an integrated framework will not require any major legislative change; it will demonstrate the central government's commitment to the GST, and give confidence to trade and industry.||P S S Kailash Nath,V Bhaskar
11-09-2015||commentary||---------||Caste, Religious Institutions and Domination :||The Tuljabhavani and Matangi temples in Osmanabad District in Maharashtra display the relation between religion, caste and power structure in society. The history of these two temples and a study of the priestly hierarchy and practice of rituals, one dominated by the Marathas and the other by the Mahars, shows how caste continues to maintain its stranglehold, albeit in different forms.||Rahul Jambhulkar,Sanjana Krishnan
11-09-2015||commentary||---------||Subverting the Land Acquisition Act, 2013 :||After coming to power in 2014, the National Democratic Alliance government took several measures to dilute the pro-poor provisions of the Land Acquisition Act of 2013. Though it has backed down, several questions remain over the way the Modi government has dealt with the issue of land acquisition.||Santosh Verma
10-09-2015||commentary||---------||New Health Policy and Chronic Disease : Analysis of Data and Evidence||The Ministry of Health and Family Welfare has made public the National Health Policy 2015 Draft for discussion. The draft is more exhaustive and better organised in its coverage compared to the National Health Policy of 2002. It touches upon contemporary issues of concern, including the rapid emergence of chronic non-communicable diseases. From the latest available evidence, issues crucial to tackling chronic illness in India are discussed.||Anamitra Barik,Anoshua Chaudhuri,Subrata Mukherjee
10-09-2015||commentary||---------||New Voices in Songs : Do Women in Hindi Films Have Greater Agency?||Thin voices in Hindi film music are seen to be associated with "good girls" who are obedient, innocent, and pure. Lata Mangeshkar's thin voice is assumed to have suited a particular vision of femininity promoted by Hindi films at the time. It is tempting to think that as their singing voices have thickened and acquired greater texture, female characters in Hindi films have similarly acquired greater agency, rebelliousness and independence. The reality, however, is very different.||Ashwini Deshpande
