26/2/1977- ||review of management, february 1977||4365350||New Issue Market and Company Finance||This paper aims to examine the role of the new issue market [NIM] in India. Section I of the paper sketches the methodology and scope of the enquiry. Section II attempts to present the overall role of, and trends in, the funds raised from the NIM vis-a-vis corporate financing. Sections III and IV enquire into the differences in the role of the NIM by size of firms and their group association. Section V explores how the use of the NIM is influenced by the rate of growth. Sections VI and VII are concerned with industry and age differences in relation to NIM. Section VIII contains the concluding observations.||M. Y. Khan
23/7/1977- ||from our correspondents||4365791||To Win Votes||-------------------------------------||
23/7/1977- ||------||4365777||First Causes||-------------------------------------||
26/2/1977- ||------||4365332||Over to Private Trade||-------------------------------------||
26/3/1977- ||------||4365420||Setback for Congress||-------------------------------------||
2/7/1977- ||------||41497064||The Ordeals of Appanu||-------------------------------------||
1/8/1977- ||monopolies and transnational control||4365854||Monopoly Legislation and Policy in India||The package of measures now being implemented in India is more likely to accentuate rather than remove the structural defects of the industrialisation strategy pursued in the post-war period. With this strategy not only will monopolies continue to prosper at the expense of smaller units, but stagnation in the market for industrial goods, due mainly to the rising volume and rate of unemployment, is likely to worsen. At the same time a move towards wholesale liberalisation of the economy by dismantling all sorts of controls in the spheres of industrial investment, imports and exports as recommended by the World Bank, etc, will not alter the direction of change. This paper examines the present law on monopolies and how it is being implemented. In the second part of the paper the author points out the basic limitations of the present policies. In the concluding section some alternative approaches are outlined.||N. K. Chandra
11/6/1977- ||------||4365668||Blind Man's Buff||-------------------------------------||
07/5/1977- ||special articles||4365566||Interim Measures in International Finance and Development||Proposals are currently under discussion, under the aegis of the IMF, to (a) create a new fund or credit facility to assist nations, developed as well as developing, with acute balance of payments difficulties; (b) create additional SDRs of the order of 3 billion; and (c) substantially expand IMF quotas. What do these proposals add up to for the developing countries? Even if these proposals do imply some gain for the developing countries, do they go far enough to meet the balance of payments difficulties which these countries are likely to face in the foreseeable future?||I. S. Gulati
05/3/1977- ||------||4365361||At Any Cost||-------------------------------------||
12/3/1977- ||capital view||4365388||Whatever the Result||-------------------------------------||Romesh Thapar
11/6/1977- ||perspectives||4365680||On Propagating Scientific Temper||-------------------------------------||V. Siddhartha
11/6/1977- ||from our correspondents||4365677||Man for All Seasons||-------------------------------------||
04/6/1977- ||international affairs||4365649||A Warsaw Diary||-------------------------------------||G. P. D.
16/7/1977- ||special article||4365774||Maharashtra's Employment Guarantee Scheme: A Programme to Emulate?||In a country as large, poor and populous as India a scheme like Maharashtra's Employment Guarantee Scheme (EGS) is of great interest. After examining the administrative and finance mechanisms of the working of the EGS in Maharashtra, the paper argues that the EGS is a response to the conditions obtaining in the Maharashtra countryside, themselves a result of the state's history. The broad socio-economic aspects of the EGS are then examined and the shift of emphasis from village to watershed level is seen as a step in the right direction. With the co-operation of other rural development agencies and in a proper developmental framework a national EGS is seen as feasible.||Norman Reynolds,Pushpa Sundar
10/9/1977- ||chairman's speech||4365918||Role of Business in Rural Development||-------------------------------------||Viren J. Shah
19/3/1977- ||from our correspondents||4365410||Organising Peasants in Nalanda||-------------------------------------||Arun Sinha
19/3/1977- ||------||4365401||Gaming Rules||-------------------------------------||
05/11/1977-12/11/1977||from our correspondents||4366073||Janata Party and the Constitutional Amendments||-------------------------------------||T. R. Andhyarujina
29/1/1977- ||from our correspondents||4365292||Trade Unions Hand-in-Hand with Industrialists||-------------------------------------||B. M.
05/11/1977-12/11/1977||------||4366067||Moscow-Delhi-Peking||-------------------------------------||
29/10/1977- ||from our correspondents||4366052||From Priesthood to Landlordism||-------------------------------------||Arun Sinha
10/9/1977- ||from our correspondents||4365912||Not out of Bondage||-------------------------------------||Arun Sinha
24/12/1977- ||------||4366209||Sino-Indian Relations||-------------------------------------||
21/5/1977- ||------||4365606||Companies: Undeterred by Competition||-------------------------------------||Hansavivek
14/5/1977- ||from our correspondents||4365582||Hesitant Beginning in Industrial Relations||-------------------------------------||B. M.
09/7/1977- ||------||4365734||Gingerly as Ever||-------------------------------------||
23/7/1977- ||from our correspondents||4365789||The Bhargava Commission||-------------------------------------||
02/4/1977- ||from our correspondents||4365456||A Programme for Civil Liberties||-------------------------------------||
16/7/1977- ||------||4365763||Companies: Delectable Results||-------------------------------------||Hansavivek
26/2/1977- ||------||4365336||Fresh Arrests||-------------------------------------||
02/4/1977- ||------||4365447||Time Running Out||-------------------------------------||
22/10/1977- ||special articles||4366041||Changing Conditions of Agricultural Labourers||This paper attempts to throw light on the changes which have taken place over a period of time in the socio-economic condition of agricultural labour households in three villages in Punjab, Haryana and Eastern UP. Attention has been focused on the demographic characteristics of these households and changes in their income, employment, indebtedness, asset formation, etc.||H. Laxminarayan
09/4/1977- ||------||4365466||IBM Language||-------------------------------------||
07/5/1977- ||lest we forget||4365554||Life and Death in Kerala's Torture Camps||-------------------------------------||
09/7/1977- ||from our correspondents||4365747||Janata Colony to Cheetah Camp: Redeeming the Wrong||-------------------------------------||Shirish B. Patel
03/9/1977- ||------||4365888||Going Abegging||-------------------------------------||
04/6/1977- ||capital view||4365650||Enquiries, Elections and Economics||-------------------------------------||Romesh Thapar
30/7/1977- ||from our correspondents||4365814||Clean Sweep in Sri Lanka||-------------------------------------||Ananda Gajanayake
1/2/1977- ||the economic crisis||4365327||Sixth Finance Commission's Award: An Appraisal in Retrospect||The changes effected by the Sixth Finance Commission in tax transfers favoured the high income states, while the special upgradation grants inclined in favour of the low income states and the revenue gap grants favoured the middle income states. But when one takes an overview of the package, the principal beneficiaries of the Commission's package are four out of six states falling into the middle income group, thanks almost entirely to the revenue gap grants. The Finance Commissions must fully take the blame for undertaking the commitment to cover the non-Plan revenue gaps of the states. The result is a pattern of distribution of statutory transfers among the states which is becoming more and more regressive with the passage of five-year periods and at the same time does not allow for enforcement of norms, be they for raising revenue or for efficient planning. The Seventh Finance Commission which will have to start functioning by June-July this year, if it has to strike a new path, must not feel bound to underwrite the states' non-Plan revenue gaps. Here, while it depends on how the Commission itself views its task, at least the terms of reference should not try to provide the Commission with any alibi by requiring it, directly or indirectly, to fulfil such an obligation.||I. S. Gulati
14/5/1977- ||------||4365573||Last Fling||-------------------------------------||
03/9/1977- ||------||4365894||Companies: Higher Turnover and Margins||-------------------------------------||Hansavivek
03/9/1977- ||from our correspondents||4365896||Industrial Policy: 'Pragmatism' Abounding||-------------------------------------||B. M.
10/12/1977- ||------||4366183||Problems and Prospects of Sugar Industry||-------------------------------------||Anil Kumar S. Ruia
12/3/1977- ||from our correspondents||4365391||Cracks in a Stronghold||-------------------------------------||N. K. Singh
19/11/1977- ||------||4366084||All a Matter of Trust||-------------------------------------||
10/12/1977- ||------||4366161||Can Superpowers Be Kept Out?||-------------------------------------||Mohan Ram
1/2/1977- ||------||4365308||Waiting for the Private Godots||-------------------------------------||
18/6/1977- ||from our correspondents||4365696||After the Massacre||-------------------------------------||N. K. Singh
24/12/1977- ||special articles||4366225||'Overpopulation' and the Rural Poor: A Comment||-------------------------------------||Michael Vlassoff,Carol Vlassoff
25/6/1977- ||------||4365706||Patterns of Decline||-------------------------------------||
11/6/1977- ||------||4365666||Deep Discontent||-------------------------------------||
19/11/1977- ||from our correspondents||4366092||Against Arbitrary Bureaucracy||-------------------------------------||
16/7/1977- ||from our correspondents||4365771||'Law and Order' Killings||-------------------------------------||Kalyan Chaudhuri
28/5/1977- ||------||4365620||The Untouchables||-------------------------------------||
03/12/1977- ||from our correspondents||4366151||Poverty and Power in Peking Politics||-------------------------------------||Leo Goodstadt
26/3/1977- ||------||4365423||Breach of Norms||-------------------------------------||
16/4/1977- ||special articles||4365503||Revolution, Reform, or Protest? A Study of the Bihar Movement: II||The Bihar Movement (1974-75) under the leadership of Jayaprakash Narayan did not aim at merely bringing about a few changes here and there; it aimed at a 'Total Revolution' in the country. Any revolutionary movement, more so such a 'Total Revolution', presupposes an ideology which presents a profile, general or specific, of the future social order; programmes and strategies which concretise that ideology; personnel - leaders and cadre - who carry out the programme; and an organisation linking the revolutionaries at various levels through communication and action. The present study examines the Bihar movement with reference to these prerequisites. The study is published in three parts. The first part, which appeared last week, examined briefly the salient features of society and politics in Bihar and the antecedents of the movement. In this the second part, the author discusses the organisation and leadership of the movement, its objective of 'Total Revolution', the specific issues raised and programmes taken up and the involvement of political parties and other organisations.||Ghanshyam Shah
21/5/1977- ||capital view||4365603||Delhi Merry-Go-Round||-------------------------------------||Romesh Thapar
21/5/1977- ||special article||4365615||How Small Man Oriented Are Small Saving Schemes?||Whatever the method employed in evaluating the effect of income tax exemption on tax progressivity and equity, it is evident from the authors' analysis that the present scheme of exemptions introduces a considerable element of inequity in the tax system. Exemptions make the effective average rates lower than the stautory rates and the relative exemptions depress the tax progressivity at higher income brackets as compared to the lower ones. The higher the net income group an individual belongs to, the higher is the exemption and consequently the higher is the rate of return on investment in tax exempt securities.||M. Lakshmiswaramma,M. J. K. Thavaraj
23/7/1977- ||------||4365782||Belated Echo||-------------------------------------||
02/4/1977- ||from our correspondents||4365451||Problem of Pent-Up Aspirations||-------------------------------------||B. M.
1/8/1977- ||------||4365845||First Causes||-------------------------------------||
09/7/1977- ||------||4365733||Significant Change||-------------------------------------||
10/12/1977- ||from our correspondents||4366175||The Catholics||-------------------------------------||Francois Houtart
27/8/1977- ||------||4365861||Exterminating Angels||-------------------------------------||
07/5/1977- ||international affairs||4365562||Preaching Comes Easy||-------------------------------------||G. P. D.
09/4/1977- ||from our correspondents||4365476||Let down by Traditional Unions||-------------------------------------||
30/4/1977- ||from our correspondents||4365540||Shifty Shadow behind Sunny Jim||-------------------------------------||Farrukh Dhondy
02/4/1977- ||------||4365449||Companies: Higher Profits on Lower Sales||-------------------------------------||Hansavivek
03/12/1977- ||------||4366135||Expansion through FERA||-------------------------------------||
27/8/1977- ||review of management, august 1977||4365878||Growth in Consumption of Steel in India: Performance and Prospects||What has gone wrong with the demand for steel? Why are we not experiencing an upsurge in steel demand as we did during 1950-64? What are the prospects for a substantial increase in steel demand in the long run? This note attempts to answer these questions. First, the trends in apparent consumption of finished mild steel in the country during the last two decades are examined. The factors responsible for the lower rate of growth of consumption of steel in the last decade are then discussed. Finally, an attempt is made to unravel long-term prospects for steel demand in the country.||S. D. Kshirsagar
29/10/1977- ||------||4366044||Indo-Soviet Relations||-------------------------------------||
08/10/1977- ||special articles||4366006||Judging Economic Development: The Case of China||In any attempt to judge economic development, three broad categories of questions arise: first, the impact which economic change has on welfare; second, the objective historical process called 'development' and the specification of its parameters for use as yardsticks to evaluate contemporary development efforts; and third, the evaluation of a society's success in achieving its own, self-prescribed goals. About the first category, the intrinsic difficulty is the definition and measurement of welfare. In analysing the second, the difficulty lies in identifying the necessary changes for the transition to the predominant use of modern production technologies. The last category requires explicit consideration of a given leadership's objectives and of the resources at its disposal in accomplishing them. Although this paper reviews evaluative criteria of all three general types in relation to the Chinese experience, it is concerned primarily with the second category - viz, economic development as a process which can be analysed independently of both a given society's stated goals and the analyst's own values and welfare objectives. Part I of the paper successively examines the GNP, welfare and relativistic (self-prescribed goals) criteria, and briefly examines China's performance according to each. Part III explores an alternative approach, viz, the identification and analysis of factors which bear on the imminence, in the observable present and past, of successful long-run economic growth.||Carl Riskin
10/12/1977- ||from our correspondents||4366177||Wary of Big Brother||-------------------------------------||
14/5/1977- ||business||4365575||Stalled Take-Over||-------------------------------------||
05/11/1977-12/11/1977||from our correspondents||4366075||Year of Arms Boom||-------------------------------------||Ramesh Jaura
31/12/1977- ||from our correspondents||4366241||Indian Council of Historical Research: Autonomy or Dissolution?||-------------------------------------||C. S.
1/8/1977- ||institutional bases of rural poverty||4365853||Capitalist Domination and the Small Peasantry: Deccan Districts in the Late Nineteenth Century||This paper argues that the positions of those who hold the view that the Indian countryside is still to a large extent dominated by 'precapitalist' relationships of a 'semi-feudal' variety rest on an erroneous conception of 'intervention in the process of production', on a failure to explore and understand properly Marx's view of the relationships in question and, finally, on a failure to analyse concretely the systems of production that actually prevailed in various parts of the country as early as the nineteenth century. The nucleus of this paper consists, therefore, of precisely one such analysis - of the disintegrating small-production economy of the Deccan in the period shortly before and after the cotton boom (the 1860s).||Jairus Banaji
05/11/1977-12/11/1977||special articles||4366081||United States and India: New Directions and Their Context||The present cordial relations between the United States and India do not stem from any shared commitment to 'democratic values' and have little to do with recent political changes in the two countries. In fact, the trend towards cordiality in US-India relations began in 1976, during the Emergency. This article examines the various ways adopted - and the various rationalisations offered - by the US to 'contain' India and prevent it from assuming its legitimate status as a middle power of the region. The article argues that the present posture of 'accommodation' has to be viewed as only a supplement to, and a subtler continuation of, the earlier policy of 'containment', since it would be unrealistic to expect a superpower like the US to abandon completely its strategic perception of the 'role' it assigns to various regional powers like India.||Baldev Raj Nayar
1/8/1977- ||------||4365848||Bureaucracy on Top||-------------------------------------||B. M.
09/4/1977- ||------||4365470||In Due Season||-------------------------------------||Kapurusa
08/10/1977- ||from our correspondents||4366002||Polisario Shows the Way||-------------------------------------||Karrim Essack
08/1/1977- ||from our correspondents||4365229||'Factual Politics' and 'Terror Economics'||-------------------------------------||
10/12/1977- ||------||4366163||Closing Scenes?||-------------------------------------||
10/9/1977- ||------||4365906||Money and Prices||-------------------------------------||
07/5/1977- ||from our correspondents||4365561||Search for Alibis||-------------------------------------||
23/4/1977- ||special articles||4365524||Revolution, Reform, or Protest? A Study of the Bihar Movement: III||The Bihar Movement (1974-75) under the leadership of Jayaprakash Narayan did not aim at merely bringing about a few changes here and there; it aimed at a 'Total Revolution' in the country. Any revolutionary movement, more so such a 'Total Revolution', presupposes an ideology which presents a profile, general or specific of the future social order; programmes and strategies which concretise that ideology; personnel - leaders and cadre - who carry out the programme; and an organisation linking the revolutionaries at various levels through communication and action. The present study examines the Bihar Movement with reference to these prerequisites. This, the third and concluding part, examines the Sarvodaya ideology and movement, specifically its attitude towards such concepts as parliamentary democracy and planned economic development. The study shows that despite Sarvodaya's disenchantment with these concepts as enunciated and practised by the Congress, the movement's relation with the Congress party and government has been generally close and even excellent except in recent years. Attitude towards the Congress Party has been a crucial factor shaping Sarvodaya ideology, and the Bihar Movement in fact split on this question. The achievements and failures of the Bihar Movement are summed up. The author finds that despite the claim of being part of a 'Total Revolution', the Movement was essentially a protest movement, aiming at certain limited reforms of the existing order.||Ghanshyam Shah
24/9/1977- ||------||4365944||Dividing the Non-Whites||-------------------------------------||
05/11/1977-12/11/1977||------||4366064||Whose Welfare?||-------------------------------------||
15/1/1977- ||------||4365243||Clippings||-------------------------------------||
17/12/1977- ||from our correspondents||4366195||India as Capital Exporter||-------------------------------------||B. M.
26/3/1977- ||------||4365419||The Verdict||-------------------------------------||
26/11/1977- ||from our correspondents||4366113||Free-for-All Economic Policy||-------------------------------------||B. M.
11/6/1977- ||------||4365667||Downward Slide||-------------------------------------||
26/11/1977- ||------||4366133||Kirloskar Pneumatic Company Ltd||-------------------------------------||S. L. Kirloskar
06/8/1977- ||------||4365828||Belchhi Revisited||-------------------------------------||Arun Sinha
17/9/1977- ||from our correspondents||4365929||Muddied Waters||-------------------------------------||
08/10/1977- ||------||4365989||More Continuity than Change||-------------------------------------||
22/1/1977- ||------||4365265||'Indian' Traders||-------------------------------------||
08/10/1977- ||special articles||4366005||On Rolling Plans||The debate that has just started on the proposed system of annual rolling plans is symptomatic of our preoccupation with forms rather than with substance. For long has the farce of commitment to Five-Year Plan targets been maintained with a calculated reluctance to come to grips with the difficult and unpalatable decisions which they call for. Politicians have used the Plans to inveigle the masses with promises of the millenium; bureaucrats have been consistently cynical about the Plans and their targets; and both have wanted more to spend without ever having the intention of supporting, not to speak of implementing, policies which necessarily would have hurt the well-to-do and the powerful. The rolling plan will resolve none of these contradictions in our planning.||A. Vaidyanathan,I. S. Gulati
17/12/1977- ||from our correspondents||4366197||Red vs Non-Red Money||-------------------------------------||
16/7/1977- ||from our correspondents||4365766||An Open Letter to George Fernandes||-------------------------------------||
11/6/1977- ||from our correspondents||4365673||Major Issues for the Budget||-------------------------------------||I. S. Gulati
22/10/1977- ||special articles||4366042||Aspects of Fiji Indian History, 1879-1939: A Society in Transition: II||Following an agreement between the colonial governments in India and Fiji, Indians were indentured to work in the sugar plantations and mills which were started in Fiji by the Australia-based Colonial Sugar Refining Company from 1879 onwards. This migration of Indian labour to Fiji went on uninterrupted till the end of 1919 when, following nationalist pressure in India, it was stopped from the beginning of 1920. The Indians in Fiji had to live and work in extremely harsh conditions; yet by far the majority of these labourers made Fiji their home, even when they had an option of being repatriated to India at the cost of the government at the end of their contracts. This article presents a historical account of the migration of Indian labourers to Fiji, the conditions of their life and work, and the impact the new environment had on the traditional attitude towards caste, religion, language, etc. It traces the gradual transformation of traditional Indian society and the growing diversification of the occupations. The major part of the paper deals with the struggles launched by the Indians for economic and political rights, including the right to adult franchise, and the attempts of the colonial government to contain these demands. The article is published in two parts. The first part appeared last week. This, the second part, describes the prolonged struggles of the Indian labourers with the Colonial Sugar Refining Company, and the gradual politicisation of the struggle. The last section traces the actual political struggles that culminated in the constitutional settlement of 1937, which still fell far short of Indian aspirations.||Ahmed Ali
14/5/1977- ||business||4365577||On Short Leash||-------------------------------------||
23/7/1977- ||------||4365778||Disappointment for Indian Big Business||-------------------------------------||
05/11/1977-12/11/1977||international affairs||4366077||Anti-Communist Offensive in Europe||-------------------------------------||G. P. D.
29/1/1977- ||special articles||4365301||Estimates of Doctors in Delhi A Note||It is generally argued that in the course of the last 25 years the distribution of doctors has become more unequal, with urban areas taking a growing share of the doctors in India. The available evidence for Delhi Union Territory suggests that this is indeed the case, so that now the area has a doctor: population ratio which is comparable to that in many developed countries, though in India as a whole the ratio is still around 1:4,000, or about 25 per cent of the ratio in developed countries. There has also been a shift towards employment in the public sector, increasingly in large hospitals, and the proportion of doctors offering specialist services has risen considerably.||Roger Jeffery
1/2/1977- ||the elections||4365312||Redefining Poverty||-------------------------------------||B. M.
08/10/1977- ||------||4365986||Willing to Wound, and Yet Afraid to Strike||-------------------------------------||
26/3/1977- ||international affairs||4365439||Power Is Not for Changing Hands||-------------------------------------||G. P. D.
06/8/1977- ||------||4365833||Companies: Better Results on Cheaper Goods||-------------------------------------||Hansavivek
28/5/1977- ||------||4365619||Illegal Activity?||-------------------------------------||
03/12/1977- ||from our correspondents||4366148||Politics of Cyclone Relief||-------------------------------------||C. Venkata Krishna
10/9/1977- ||------||4365907||Shifting Factions||-------------------------------------||
23/7/1977- ||------||4365787||Companies: A Tax Mine||-------------------------------------||Hansavivek
15/10/1977- ||from our correspondents||4366017||Mini-MISA against Workers||-------------------------------------||N. K. Singh
14/5/1977- ||business||4365576||Propper up Price||-------------------------------------||
31/12/1977- ||------||4366236||Companies: Hit by Imports||-------------------------------------||Hansavivek
10/12/1977- ||------||4366165||Divided Arabs||-------------------------------------||
24/12/1977- ||from our correspondents||4366216||Political Uses of Cyclone||-------------------------------------||
19/11/1977- ||company meeting||4366102||Tata Chemicals Limited||-------------------------------------||J. R. D. Tata
17/9/1977- ||special articles||4365934||Constraints on Growth and Policy Options||It is the contention of this paper that (a) The possibilities of accelerating overall growth, even to the degree visualised in the long-term projections given in the revised Fifth Plan, are doubtful essentially because of the severe constraint on the possibility of stepping up the growth of agriculture and export. (b) The constraints on agriculture are in part technological and in large part institutional; while in the case of exports the ramification of a significantly more outward-oriented growth may involve changes in many fundamental tenets, including political, of current development policy. (c) To continue committing investment programmes (both the level and the composition) without regard to the above constraints, exposes the economy to risks of inflation and wasteful use of limited investible resources. (d) With a modest growth, it is inevitable that redistributive measures should play a much bigger role in efforts to improve the conditions of the poor, the more so because with slow growth the possibility of the poor getting jobs and maintaining the real wage level is greatly reduced. (e) A larger anti-poverty programme, consisting essentially of employment generating growth, infrastructural and productive agricultural projects concentrated in the poor areas, is possible provided that the fiscal instrument is effectively used to contain the consumption of the rich. There is also much scope for increasing the impact of such programmes by greater care in selecting areas and in the planning and implementation of the projects. (f) Both with anti-poverty and agricultural programmes, the development of viable and responsible local institutions is critical to success.||A. Vaidyanathan
06/8/1977- ||from our correspondents||4365838||Calcutta's Sandal Makers||-------------------------------------||Timir Basu
07/5/1977- ||capital view||4365553||A Mafia Device Misfires||-------------------------------------||Romesh Thapar
15/1/1977- ||------||4365237||I'll Huff, and I'll Puff...||-------------------------------------||
19/3/1977- ||------||4365405||Request to 'All the Members of Community'||-------------------------------------||
11/6/1977- ||from our correspondents||4365678||Back to President's Rule||-------------------------------------||Sanamani Yambem
08/1/1977- ||from our correspondents||4365231||Murshidabad Craftsmen||-------------------------------------||Kalyan Chaudhuri
17/12/1977- ||from our correspondents||4366198||Monopoly Trade in Tribal Areas and Its Politics in Maharashtra||-------------------------------------||S. D. Kulkarni
26/2/1977- ||from our correspondents||4365344||First Fall-Out of New Pattern||-------------------------------------||
18/6/1977- ||from our correspondents||4365698||After the Referendum||-------------------------------------||
23/4/1977- ||------||4365508||Preliminary Manoeuvres||-------------------------------------||
23/7/1977- ||special articles||4365798||India and the Super Powers: Deviation or Continuity in Foreign Policy?||The drastic political change in India after the March Lok Sabha elections could not be without a major impact on foreign policy. However, the euphoria about foreign policy shifts following the change of government requires a slightly more critical examination. A little historical perspective will show that the initial statements of the new government mark not so much a departure as a new stage in an evolutionary development initiated by the Congress government.||Baldev Raj Nayar
08/1/1977- ||------||4365222||The Future Is Here||-------------------------------------||
29/1/1977- ||------||4365286||Price of Food||-------------------------------------||
14/5/1977- ||from our correspondents||4365587||Worsening Crisis||-------------------------------------||
08/1/1977- ||from our correspondents||4365228||Primary Education Made 'Attractive'||-------------------------------------||Arun Sinha
15/1/1977- ||from our correspondents||4365249||Adivasi Sub-Plan: A Mid-Term Appraisal||-------------------------------------||S. D. Kulkarni
26/3/1977- ||review of agriculture, march 1977||4365434||Changes in Acreage and Tenure Structure of Land Holdings in Haryana, 1962-72||Seven important findings emerge from this study: (1) The Green Revolution, by reducing the minimum acreage required for a viable holding, greatly accelerated the subdivision of family farms between 1961 and 1972. This is the dominant cause of the dramatic downward shift in the acreage structure of operated holdings during the decade. (2) The accelerated subdivision of owned land by itself altered the tenure structure in favour of pure owners. (3) Widespread resumption of leased-out land for self-cultivation was mainly a response by land owners to the opportunities afforded by productivity-raising technology, and only in small part traceable to fear of tenancy legislation. (4) Apprehension about tenancy legislation instead led to more rapid 'tenant switching' of whatever leased-in acres had not been resumed. However, in wet areas, other region-specific methods were also used by land owners to ensure the security of their leased out land. (5) Resumption converted a substantial number of mixed tenure households into pure owners. It also sharply reduced the number of pure tenants in the two regions where the new technology was most widely adopted. (6) The more than doubling of the number of male agricultural labourers from 1961 to 1971, however, cannot be attributed to the loss of land previously owned or leased in by households which are now landless agricultural labour households. (7) No household cultivating under 15 acres today, and no landless agricultural labour household, lost any land by sale to pay off debt, or sale for any other reason. None lost land through foreclosure of mortgages, and none leased out land previously self-cultivated.||Sheila Bhalla
27/8/1977- ||from our correspondents||4365880||Horn of Africa: Superpowers' Manoeuvres||-------------------------------------||J. P. Anand
26/2/1977- ||------||4365351||Citurgia Biochemicals||-------------------------------------||
02/4/1977- ||------||4365445||Time for Cleansing||-------------------------------------||
24/9/1977- ||review of agriculture, september 1977||4365953||Progress of Irrigation in Uttar Pradesh: East-West Differences||This paper seeks to examine (a) the historical development of irrigation facilities in Uttar Pradesh, particularly in the post-Independence period; (b) the salient differences among the different regions of Uttar Pradesh in the nature and extent of irrigation; and (c) the causes underlying these regional differences. Particular emphasis is given to the period since the mid-1960s when the most rapid expansion of irrigation facilities took place in Uttar Pradesh.||Charles Clift
07/5/1977- ||from our correspondents||4365556||School Teachers' Plight||-------------------------------------||Jean Kalgutkar,Urmila Banerjee
24/9/1977- ||from our correspondents||4365956||D. P. Mukherji||-------------------------------------||A. K. Banerjee
25/6/1977- ||------||4365708||Janata Elects a Leader||-------------------------------------||Arun Sinha
28/5/1977- ||lest we forget||4365625||The Dead and the Barely Living||-------------------------------------||Mukundan C. Menon
06/8/1977- ||from our correspondents||4365839||Third General Elections||-------------------------------------||S. S. Bhattacharya
31/12/1977- ||------||4366233||Empire-Building||-------------------------------------||
18/6/1977- ||from our correspondents||4365695||A Year after Eviction||-------------------------------------||
27/8/1977- ||------||4365862||Rewriting History||-------------------------------------||
02/4/1977- ||state bank chairman's speech||4365462||New Peaks Climbed; Still Bolder Goals Ahead||-------------------------------------||T. R. Varadachary
12/3/1977- ||from our correspondents||4365392||Do Muslims Vote as a Block?||-------------------------------------||Asghar Ali Engineer
24/9/1977- ||from our correspondents||4365947||Bureaucracy's Games||-------------------------------------||B. M.
27/8/1977- ||from our correspondents||4365869||Economic Policy Differences in Janata||-------------------------------------||B. M.
09/7/1977- ||------||4365731||Towards a More 'Practical' Approach?||-------------------------------------||
26/11/1977- ||------||4366105||The Sadat Visit||-------------------------------------||
15/1/1977- ||from our correspondents||4365252||Saigon Today||-------------------------------------||Harish Chandola
04/6/1977- ||from our correspondents||4365652||Anti-Working Class Law||-------------------------------------||
24/12/1977- ||from our correspondents||4366220||Re-Emergence of the Left||-------------------------------------||Ramesh Jaura
1/2/1977- ||the economic crisis||4365320||Poverty, Politics and Development: Western Europe in First Half of 19th Century and South Asia in Second Half of the 20th||Poverty is now the dominant theme of much of current economic literature on countries such as India. The politics of these countries also seem to take its cue from poverty, through appeals to the poor and through various policies and programmes for their relief. But the precise ways in which the economics and the politics of poverty interact and condition the processes of change are not clear. In order to understand this interaction between economic and non-economic phenomena, which are nowhere more strikingly evident than in the so-called developing countries, an attempt is made here to look back in history and see how far poverty was a problem in western Europe in the 19th century in the sense it is today in south Asia, what its effects were on the politics of that period, and how the politics and economics of poverty affected the course of development of countries like France and Britain.||K. N. Raj
29/1/1977- ||from our correspondents||4365297||Election Prospects||-------------------------------------||S. S. Bhattacharya
2/7/1977- ||------||41497062||'Wolf! Wolf!!'||-------------------------------------||
24/9/1977- ||special articles||4365960||Election Studies in India||While election studies have proliferated in the last two decades, they have failed to equip us with any expertise either in the anticipation and prediction of electoral outcomes or in understanding electoral processes generally. Their contribution in enabling us to arrive at any precise formulations about the political behaviour of the Indian electorate has been marginal. This is dismaying as a huge quantum of scarce national resources has been involved in the whole enterprise of election studies. It is not argued here that election studies should be abandoned altogether. While their predictive capability is limited, they may still provide a cumulative, long-term view of the processes of politicisation of the electorate and of the development of India's political system. For this latter purpose, however, there is need to change our approach to election studies.||Imtiaz Ahmad
16/4/1977- ||from our correspondents||4365497||Legalistic Approach||-------------------------------------||Mohan Ram
26/2/1977- ||special article||4365359||Development, Education and the Poor: Context of South Asia||The development efforts of the countries of the Third World, in spite of their enormity and even when successful, have followed a path that has led to the intensification of the problems of poverty, unemployment and inequality. The solution of the problems of poverty, inequality and unemployment requires a different strategy. Elements in this strategy involve the provision of opportunities for 'self-defined' work, encouragement of production of 'use-values' and strengthening of small organisational structures that are not based on the principle of pure exchange. A reordering of the development effort on these lines requires that development be understood not only in terms of GNP, material goods and use-values, but also as a 'state of mind'. To understand the existing 'state of mind'-which values goods, activities, policies and programmes that lead to increases in poverty-one has to examine the system of education in the developing countries.||Romesh Diwan
26/3/1977- ||------||4365424||Feudal Politics||-------------------------------------||
06/8/1977- ||from our correspondents||4365835||Indian Coal Mines: Graveyard of Miners||-------------------------------------||K. V. Subrahmanyam
09/7/1977- ||------||4365737||Quiet Beginning||-------------------------------------||
10/12/1977- ||------||4366166||Why so High?||-------------------------------------||
03/9/1977- ||------||4365889||Enemy Within||-------------------------------------||
29/10/1977- ||from our correspondents||4366055||New Face of Non-Alignment||-------------------------------------||S. D. Muni
07/5/1977- ||from our correspondents||4365558||An Enemy of the State?||-------------------------------------||
25/6/1977- ||from our correspondents||4365727||A Fine Gesture||-------------------------------------||
